SUP_ID,STA_NM_ANFR,NB_STATIONS_ANFR,NAT_ID,NAT_LB_NOM,latitude,longitude,SUP_NM_HAUT,ADR_LB_LIEU,ADR_LB_ADD1,ADR_NM_CP,COM_CD_INSEE,split,classe_niveau2,image,status,x1,y1,x2,y2,commentaire,spatial_group,split_niveau2
2725130,780990402,1,42,Mât,48.77777777777778,2.2225,"7,9",,ech n118 sud vers a86 pr7.6,78140,78640,train,mat,support_2725130.jpg,non_visible,,,,,,0,val
3016207,782700722,2,23,Pylône autostable,48.94805555555556,2.026111111111111,24,LES MORIZETS,AVENUE DE L'EUROPE,78955,78123,train,pylone,support_3016207.jpg,non_visible,,,,,,1,train
1306136,782290488,1,26,Pylône tubulaire,48.75861111111111,2.0458333333333334,17,,Avenue du Grand pré,78960,78688,train,pylone,support_1306136.jpg,visible,490.88874037767215,480.6080430932702,533.7122856635551,524.5585237814133,,2,val
170960,780030405,1,999999999,Support non décrit,49.06166666666666,1.5508333333333333,12,,11 R DE LA MAIRIE,78270,78337,train,autre_support,support_170960.jpg,visible,468.6116895799513,461.96185064935054,586.6376636059252,575.0008116883116,,3,val
518734,780620501,14,23,Pylône autostable,48.96305555555556,1.7472222222222222,37,La Plagne,r de bellevue,78930,78291,train,pylone,support_518734.jpg,non_visible,,,,,,4,train
670491,780220041,2,42,Mât,48.822500000000005,1.637222222222222,15,La Grenouillère,pl du chateau,78550,78520,train,mat,support_670491.jpg,non_visible,,,,,,5,train
2056904,782750905,1,26,Pylône tubulaire,48.9875,1.735,21,,82 R DES COUTURES,78520,78335,train,pylone,support_2056904.jpg,visible,493.78077604847465,495.7755038792376,509.3203948712104,513.6855730308653,,6,train
815673,782290047,1,4,Château d'eau - réservoir,49.0175,1.5680555555555555,"36,1",Hameau de Morvent,,78270,78089,train,chateau_eau,support_815673.jpg,visible,512.3419634539314,468.5058178023274,548.4816160091682,492.98751792039127,,7,train
555190,782700112,9,23,Pylône autostable,48.76027777777778,2.1713888888888886,38,,1 R DE LA LIBÉRATION,78350,78322,train,pylone,support_555190.jpg,visible,468.1659675291945,474.5492647674905,508.435293042391,510.4943674067868,,8,train
1990531,780990235,1,38,Immeuble,48.717777777777776,2.101388888888889,18,,2 SQUARE DE LA CURE,78114,78356,train,batiment,support_1990531.jpg,visible,433.7025986708603,435.364448051948,570.0142869825487,550.0657467532467,,9,train
2899877,782700564,3,17,Bâtiment,48.78916666666667,2.0413888888888887,34,,4 Mail des Bétulas,78180,78423,train,batiment,support_2899877.jpg,visible,335.6246765929383,262.4813311688312,538.4298713981331,633.1826298701299,,10,train
