SUP_ID,STA_NM_ANFR,NB_STATIONS_ANFR,NAT_ID,NAT_LB_NOM,latitude,longitude,SUP_NM_HAUT,ADR_LB_LIEU,ADR_LB_ADD1,ADR_NM_CP,COM_CD_INSEE,split,classe_niveau2,image
2725130,780990402,1,42,Mât,48.77777777777778,2.2225,"7,9",,ech n118 sud vers a86 pr7.6,78140,78640,train,mat,support_2725130.jpg
511029,782290151,2,23,Pylône autostable,49.01,1.8877777777777776,32,Clos Malines,r de la chesnaye,78250,78299,train,pylone,support_511029.jpg
3016207,782700722,2,23,Pylône autostable,48.94805555555556,2.026111111111111,24,LES MORIZETS,AVENUE DE L'EUROPE,78955,78123,train,pylone,support_3016207.jpg
2863171,780460002,1,23,Pylône autostable,48.95277777777778,1.5669444444444445,20,,La Folie Panier,78980,78107,train,pylone,support_2863171.jpg
2052525,782700460,2,38,Immeuble,49.00722222222223,1.965,16,,21 BOULEVRD ANGIBOUT,78740,78638,train,batiment,support_2052525.jpg
1306136,782290488,1,26,Pylône tubulaire,48.75861111111111,2.0458333333333334,17,,Avenue du Grand pré,78960,78688,train,pylone,support_1306136.jpg
170960,780030405,1,999999999,Support non décrit,49.06166666666666,1.5508333333333333,12,,11 R DE LA MAIRIE,78270,78337,train,autre_support,support_170960.jpg
518734,780620501,14,23,Pylône autostable,48.96305555555556,1.7472222222222222,37,La Plagne,r de bellevue,78930,78291,train,pylone,support_518734.jpg
670491,780220041,2,42,Mât,48.822500000000005,1.637222222222222,15,La Grenouillère,pl du chateau,78550,78520,train,mat,support_670491.jpg
2056904,782750905,1,26,Pylône tubulaire,48.9875,1.735,21,,82 R DES COUTURES,78520,78335,train,pylone,support_2056904.jpg
1594400,780990120,2,26,Pylône tubulaire,48.82972222222222,1.9777777777777776,36,,6 r des Entrepreneurs,78340,78165,train,pylone,support_1594400.jpg
2720444,780990389,1,17,Bâtiment,48.82972222222222,1.9936111111111112,"24,2",,6 RUE DE LA POINTE A L'ANGE,78450,78674,train,batiment,support_2720444.jpg
2737138,782700542,1,17,Bâtiment,48.94611111111111,2.1516666666666664,"20,7",,18 RUE DE PARIS,78600,78358,train,batiment,support_2737138.jpg
