SUP_ID,STA_NM_ANFR,NB_STATIONS_ANFR,NAT_ID,NAT_LB_NOM,latitude,longitude,SUP_NM_HAUT,ADR_LB_LIEU,ADR_LB_ADD1,ADR_NM_CP,COM_CD_INSEE,split,classe_niveau2,image,status,x1,y1,x2,y2,commentaire
1336569,780460320,1,23,Pylône autostable,48.82333333333334,1.993888888888889,20,,Allée de la Gare,78340,78165,train,pylone,support_1336569.jpg,non_visible,,,,,
1353312,782750738,1,17,Bâtiment,48.92722222222222,2.144722222222222,8,,280 AV  GABRIEL PERI - CARREFOUR,78360,78418,train,batiment,support_1353312.jpg,ambigu,,,,,
1370988,780990059,2,38,Immeuble,48.97694444444445,1.6947222222222222,"13,9",,rue des Martinets,78200,78354,train,batiment,support_1370988.jpg,visible,444.7327981809017,487.84612693757856,560.7661119638929,600.4260682865521,
1381467,780990027,3,38,Immeuble,48.78444444444444,2.2183333333333333,"36,2",,16 AV MORANE SAULNIER,78140,78640,train,batiment,support_1381467.jpg,visible,435.364936333198,358.8969155844155,555.0532480215097,486.8969155844155,
1398007,780460323,1,23,Pylône autostable,48.76472222222223,2.1641666666666666,12,,Avenue Jean Jaurès,78350,78322,train,pylone,support_1398007.jpg,ambigu,,,,,
1461855,780460343,1,23,Pylône autostable,48.93333333333333,2.163333333333333,"20,4",,Rue de l'Ilot,78500,78586,train,pylone,support_1461855.jpg,non_visible,,,,,
1468648,780990083,5,26,Pylône tubulaire,48.95361111111112,1.5705555555555557,"35,2",la borne d'argent,,78200,78082,train,pylone,support_1468648.jpg,visible,607.3578972281498,556.8977953498115,645.2699206885604,603.067883326351,
1468847,780031292,1,17,Bâtiment,48.75666666666667,1.928055555555556,18,,1 AVENUE GUTENBERG,78310,78168,train,batiment,support_1468847.jpg,ambigu,,,,,
1509971,782750776,1,17,Bâtiment,48.98777777777778,1.9252777777777776,"23,6",,ALLEE DES FOUGERES,78130,78440,train,batiment,support_1509971.jpg,visible,501.8584428267045,505.1826298701298,634.8454558137175,919.1047077922076,
1536777,780990106,3,26,Pylône tubulaire,48.91972222222222,1.5955555555555556,26,LE CLOS DE L'EGLISE,STADE DE FOOTBALL LE CLOS DE L'EGLISE,78980,78346,train,pylone,support_1536777.jpg,visible,535.6492329891344,487.1843786894923,555.2194809230186,523.1513208382526,
1545487,780990110,1,48,pylône arbre,48.99972222222223,2.117777777777778,32,,Allee du Point du Jour,78700,78172,train,pylone,support_1545487.jpg,visible,485.3521797676869,559.5201455802262,510.8470771283907,583.8010002094679,
1579612,782290519,3,17,Bâtiment,48.780277777777776,2.2075,"28,6",,11 PLACE DE L'EUROPE,78140,78640,train,batiment,support_1579612.jpg,visible,214.27402724228898,282.42938311688306,588.3000012682629,626.5332792207791,
1624219,780990141,2,17,Bâtiment,48.907777777777774,2.158333333333333,"33,8",,136 Avenue Paul Doumer,78360,78418,train,batiment,support_1624219.jpg,visible,302.37792334618507,254.16964285714278,614.8974038656655,678.0657467532467,
1701008,780466062,1,23,Pylône autostable,49.00611111111111,1.9144444444444444,24,THUN-LE-PARADIS,RUE DE LA COTE LECUYER,78250,78401,train,pylone,support_1701008.jpg,visible,519.2655839737379,492.95116254713025,532.7616208400973,506.9662777545035,
1716845,780990156,1,38,Immeuble,48.801944444444445,2.0725,"19,8",,34 bis rue du Docteur Vaillant,78210,78545,train,batiment,support_1716845.jpg,visible,385.49480646306813,450.32548701298697,639.8324688007305,575.0008116883116,
1736078,782700113,2,23,Pylône autostable,48.47972222222222,1.8522222222222224,40,Le Petit Orme,zi  chem rural 9,78660,78071,train,pylone,support_1736078.jpg,visible,514.9413608870966,538.6644574780058,548.8144400659824,567.4926099706744,
1746470,780466083,1,23,Pylône autostable,48.7725,2.1475,"7,4",,RUE CHARLES DE GAULLE,78350,78322,train,pylone,support_1746470.jpg,visible,547.1331795468382,526.0796814386911,564.7582765277793,550.8226060465506,
1747998,780466089,1,23,Pylône autostable,48.78777777777778,2.0458333333333334,"8,4",,AVENUE DES PRES,78180,78423,train,pylone,support_1747998.jpg,ambigu,,,,,
1748486,780031455,1,38,Immeuble,48.99555555555556,1.685,75,,2 RUE ARCHIMEDE,78200,78361,train,batiment,support_1748486.jpg,visible,503.5207804890422,314.0137987012986,611.5727285409903,525.1306818181818,
1786127,782290535,2,17,Bâtiment,48.94,2.0463888888888886,"43,7",,45 Rue Jean Pierre Timbaud,78300,78498,train,batiment,support_1786127.jpg,ambigu,,,,,
1798466,780990181,1,26,Pylône tubulaire,49.02583333333333,1.7597222222222222,"23,5",,Rue de Meulan,78440,78246,train,pylone,support_1798466.jpg,visible,529.6909078390106,427.151322790113,553.0236937627644,452.15073627984907,
1866260,782290485,1,38,Immeuble,48.77333333333333,2.082777777777778,"21,4",,47 R de Dampierre,78280,78297,train,batiment,support_1866260.jpg,visible,483.5727285409902,491.88392857142856,594.9493519176135,693.0267857142857,
1879848,782700175,1,23,Pylône autostable,48.99555555555556,1.8572222222222223,20,,chem des clos renards,78820,78327,train,pylone,support_1879848.jpg,visible,487.70093809460116,512.0011648254342,514.1709667672272,537.1693888092427,
1894294,780466098,1,17,Bâtiment,48.79444444444445,2.138055555555556,"10,5",PRSI DE VERSAILLES CHANTIER,4 PLACE RAYMOND POINCARE,78000,78646,train,batiment,support_1894294.jpg,ambigu,,,,,
1903428,780466100,1,17,Bâtiment,48.99722222222222,2.0975,12,GARE CONFLANS ST HONORINE,2 AVENUE EUGENE BERRURIER,78700,78172,train,batiment,support_1903428.jpg,visible,377.18311815137986,420.403409090909,589.9623389306006,543.4163961038961,
1936392,782700475,2,26,Pylône tubulaire,49.02666666666666,1.7602777777777778,22,,V COMMUNALE N°3,78440,78246,train,pylone,support_1936392.jpg,visible,549.3529400641971,568.0314639905548,566.7621490370425,590.1556670602124,
1942432,780180030,1,17,Bâtiment,48.83972222222222,2.11,10,,CHEMIN DU TROU D ENFER,78150,78158,train,batiment,support_1942432.jpg,visible,490.2220791903409,458.63717532467524,596.6116895799513,641.4943181818181,
1944610,780031492,1,17,Bâtiment,48.80138888888889,2.1394444444444445,15,,Pas de l'Abbé Picard,78000,78646,train,batiment,support_1944610.jpg,visible,511.83246880073045,387.1566558441558,905.8064947747565,606.5852272727273,
1948465,782700498,2,26,Pylône tubulaire,48.92361111111111,1.6930555555555555,15,,2 che DE GUERVILLE,78930,78677,train,pylone,support_1948465.jpg,non_visible,,,,,
1954203,780990225,1,17,Bâtiment,48.94583333333333,2.151944444444444,"18,6",,20 rue de Paris,78600,78358,train,batiment,support_1954203.jpg,ambigu,,,,,
1960544,780990230,1,23,Pylône autostable,48.73194444444445,2.037777777777777,30,LA CULOTTE,ROUTE DE MILON,78114,78356,train,pylone,support_1960544.jpg,visible,452.8350245400652,457.7313322229718,480.4708484564086,483.27520134086694,
2005716,782290532,2,38,Immeuble,48.77611111111111,2.000833333333333,24,,22 RUE JEAN JAURES,78190,78621,train,batiment,support_2005716.jpg,visible,453.6506506189123,191.00081168831161,658.1181830864448,553.390422077922,
2025999,782750893,1,17,Bâtiment,48.9875,1.908611111111111,"20,3",RESIDENCE LEO LAGRANGE,7 R LEO LAGRANGE,78130,78440,train,batiment,support_2025999.jpg,visible,460.3000012682629,375.5202922077922,566.6896116578733,679.7280844155844,
2043003,780990242,2,38,Immeuble,48.873333333333335,2.085555555555556,17,,2 r des poteries,78160,78372,train,batiment,support_2043003.jpg,visible,448.66363763189923,423.72808441558436,594.9493519176135,583.3124999999999,
