SUP_ID,STA_NM_ANFR,NB_STATIONS_ANFR,NAT_ID,NAT_LB_NOM,latitude,longitude,SUP_NM_HAUT,ADR_LB_LIEU,ADR_LB_ADD1,ADR_NM_CP,COM_CD_INSEE
1305991,782290487,2,38,Immeuble,48.79944444444444,2.1244444444444444,19,,"1,rue du Maréchal Joffre",78000,78646
1377797,782290490,1,38,Immeuble,48.79805555555556,2.125,23,,17 rue Saint Honoré,78000,78646
1435887,780467301,1,10,Tunnel,48.79861111111111,2.1352777777777776,"6,3",,rue de Noailles,78000,78646
1760692,780990173,1,17,Bâtiment,48.79888888888889,2.127222222222222,"19,2",,31 R du Gal Leclerc,78000,78646
1929536,780466105,1,17,Bâtiment,48.79444444444445,2.1347222222222224,15,VERSAILLES CHANTIERS,6 RUE DE LA PORTE DE BUC,78000,78646
2214528,782750967,1,38,Immeuble,48.797777777777775,2.1283333333333334,"22,1",,22 RUE DES TOURNELLES,78000,78646
2274825,782290560,1,38,Immeuble,48.7975,2.13,20,,38 AVENUE DE SCEAUX,78000,78646
2284920,782290561,1,17,Bâtiment,48.8,2.1286111111111112,"14,7",,AVENUE DE SCEAUX ,78000,78646
2537641,782290599,2,38,Immeuble,48.797777777777775,2.1341666666666668,26,,"27ter, rue de Noailles",78000,78646
2865412,780031483,1,17,Bâtiment,48.8,2.1344444444444446,4,,28 AVENUE DE PARIS,78000,78646
2865414,780034008,1,9,Intérieur sous-terrain,48.79555555555555,2.1333333333333333,0,,9 RUE DES ETANGS GOBERT,78000,78646
305789,782700283,1,38,Immeuble,48.80166666666666,2.1286111111111112,16,,"2, av de paris",78000,78646
3290346,780034119,1,19,Monument historique,48.80138888888889,2.13,45,,"4, av de paris",78000,78646
469502,782700182,3,38,Immeuble,48.79694444444444,2.136388888888889,"28,4",,7 r des chantiers,78000,78646
834924,782750279,1,38,Immeuble,48.79472222222222,2.1261111111111117,25,,26 R ST LOUIS,78000,78646
835052,782750206,1,38,Immeuble,48.80111111111111,2.1238888888888887,23,,4 R DE FONTENAY,78000,78646
867956,782700118,1,38,Immeuble,48.7975,2.123333333333333,"19,2",,7 r maréchal joffre,78000,78646
