SUP_ID,image,status,classe_niveau2,classe_multi,group_id,split_compare,latitude,longitude
2725130,support_2725130.jpg,non_visible,mat,negative,0,val,48.77777777777778,2.2225
3016207,support_3016207.jpg,non_visible,pylone,negative,1,train,48.94805555555556,2.026111111111111
1306136,support_1306136.jpg,visible,pylone,pylone_mat,2,val,48.75861111111111,2.0458333333333334
170960,support_170960.jpg,visible,autre_support,autre_support,3,train,49.06166666666666,1.5508333333333333
518734,support_518734.jpg,non_visible,pylone,negative,4,train,48.96305555555556,1.7472222222222222
670491,support_670491.jpg,non_visible,mat,negative,5,train,48.822500000000005,1.637222222222222
2056904,support_2056904.jpg,visible,pylone,pylone_mat,6,train,48.9875,1.735
815673,support_815673.jpg,visible,chateau_eau,chateau_eau,7,val,49.0175,1.5680555555555555
555190,support_555190.jpg,visible,pylone,pylone_mat,8,train,48.76027777777778,2.1713888888888886
1990531,support_1990531.jpg,visible,batiment,batiment,9,train,48.717777777777776,2.101388888888889
2899877,support_2899877.jpg,visible,batiment,batiment,10,train,48.78916666666667,2.0413888888888887
2973405,support_2973405.jpg,visible,pylone,pylone_mat,11,train,48.72972222222222,2.081388888888889
3302172,support_3302172.jpg,visible,batiment,batiment,12,val,48.98777777777778,1.763611111111111
1385677,support_1385677.jpg,visible,batiment,batiment,13,train,48.8525,2.038055555555556
2225619,support_2225619.jpg,visible,batiment,batiment,14,train,48.90083333333333,2.143611111111111
3313226,support_3313226.jpg,non_visible,mat,negative,15,train,48.73027777777778,1.701111111111111
2556544,support_2556544.jpg,visible,pylone,pylone_mat,16,train,48.78666666666666,1.938055555555556
513357,support_513357.jpg,visible,autre_support,autre_support,17,train,48.64666666666667,1.823888888888889
2216003,support_2216003.jpg,visible,batiment,batiment,18,train,48.719722222222224,2.103333333333333
546396,support_546396.jpg,visible,batiment,batiment,19,train,48.76833333333333,1.9491666666666667
951133,support_951133.jpg,visible,mat,pylone_mat,20,train,48.95388888888889,1.6377777777777778
834935,support_834935.jpg,visible,pylone,pylone_mat,21,val,48.83694444444445,2.129166666666667
3302170,support_3302170.jpg,visible,batiment,batiment,12,val,48.98833333333334,1.7633333333333334
2690397,support_2690397.jpg,visible,batiment,batiment,22,train,48.9025,2.136388888888889
467036,support_467036.jpg,visible,chateau_eau,chateau_eau,23,train,49.03444444444444,1.5675
867956,support_867956.jpg,visible,batiment,batiment,24,train,48.7975,2.123333333333333
622013,support_622013.jpg,visible,pylone,pylone_mat,25,train,48.5525,1.931944444444444
2284920,support_2284920.jpg,visible,batiment,batiment,26,val,48.8,2.1286111111111112
