SUP_ID,STA_NM_ANFR,NB_STATIONS_ANFR,NAT_ID,NAT_LB_NOM,latitude,longitude,SUP_NM_HAUT,ADR_LB_LIEU,ADR_LB_ADD1,ADR_NM_CP,COM_CD_INSEE
1246785,0782290426,1,20,Monument religieux,48.814166666666665,2.141111111111111,18,,7 Av de Villeneuve L'Etang,78000,78646
1291835,0782700434,1,17,Bâtiment,48.94,2.048888888888889,18,,45 rue Jean Pierre Timbaud,78300,78498
1292209,0782750696,1,38,Immeuble,48.774166666666666,2.0502777777777776,21,,57 boulevard Beethoven,78280,78297
1305991,0782290487,2,38,Immeuble,48.79944444444444,2.1244444444444444,19,,"1,rue du Maréchal Joffre",78000,78646
1306136,0782290488,1,26,Pylône tubulaire,48.75861111111111,2.0458333333333334,17,,Avenue du Grand pré,78960,78688
1336569,0780460320,1,23,Pylône autostable,48.82333333333334,1.993888888888889,20,,Allée de la Gare,78340,78165
1345754,0780031196,1,42,Mât,48.9875,1.7680555555555555,11,,ANCIE CHEMIN DE ROUEN A PARIS,78440,78501
1353312,0782750738,1,17,Bâtiment,48.92722222222222,2.144722222222222,8,,280 AV  GABRIEL PERI - CARREFOUR,78360,78418
1370988,0780990059,2,38,Immeuble,48.97694444444445,1.6947222222222222,"13,9",,rue des Martinets,78200,78354
1381467,0780990027,3,38,Immeuble,48.78444444444444,2.2183333333333333,"36,2",,16 AV MORANE SAULNIER,78140,78640
1385677,0782700331,2,17,Bâtiment,48.8525,2.0380555555555557,"20,5",La Tuilerie Bignon,r henri frayssineau,78860,78571
1398007,0780460323,1,23,Pylône autostable,48.76472222222223,2.1641666666666666,12,,Avenue Jean Jaurès,78350,78322
1402050,0780460346,1,23,Pylône autostable,48.96111111111112,2.108055555555556,"25,4",,Route forestière des Pavillons,78100,78551
1404583,0780460315,1,23,Pylône autostable,48.82305555555556,1.6525,25,La Vallée des Pièges,,78910,78605
1407576,0780031224,1,17,Bâtiment,48.84111111111111,1.8727777777777777,10,VALLEE DE l'ÂNE,RUE DE FLEUBERT,78650,78062
1424786,0780230005,4,4,Château d'eau - réservoir,49.05972222222222,1.763611111111111,60,,"61, Grande Rue",78440,78202
1425100,0780460303,1,23,Pylône autostable,48.48888888888889,1.8866666666666667,"25,3",,La Voix Creuse,78660,78071
1435703,0780990067,2,23,Pylône autostable,48.83166666666667,2.0011111111111117,20,,Av Général de Gaulle/R du Collège,78450,78674
1443559,0780990070,3,23,Pylône autostable,48.946666666666665,1.8005555555555557,25,,CHEM RURAL N 54 MARE AUX CHEVAUX,78680,78217
1461855,0780460343,1,23,Pylône autostable,48.93333333333333,2.163333333333333,"20,4",,Rue de l'Ilot,78500,78586
1465959,0780990082,2,23,Pylône autostable,48.76138888888889,2.1358333333333333,32,,53 R DU TROU SALE,78350,78343
1466271,0780460340,1,23,Pylône autostable,48.94111111111111,2.0580555555555557,20,,AVENUE DE PONTOISE,78300,78498
1468648,0780990083,5,26,Pylône tubulaire,48.95361111111112,1.5705555555555557,"35,2",la borne d'argent,,78200,78082
1468847,0780031292,1,17,Bâtiment,48.75666666666667,1.9280555555555556,18,,1 AVENUE GUTENBERG,78310,78168
1471811,0782750765,1,38,Immeuble,48.785,2.0652777777777778,12,PARC D'ACTIVITE DES SANGLIERS,1 AV EUGÈNE FREYSSINET,78280,78297
1478909,0780990089,2,23,Pylône autostable,48.96277777777778,1.930277777777777,30,La Cote,Chemin rural 56 de la Liberté,78130,78140
1487759,0780990091,3,38,Immeuble,48.85666666666667,1.9025,"19,3",,4 R Nouvelle,78650,78062
1509971,0782750776,1,17,Bâtiment,48.98777777777778,1.9252777777777776,"23,6",,ALLEE DES FOUGERES,78130,78440
1536777,0780990106,3,26,Pylône tubulaire,48.91972222222222,1.5955555555555556,26,LE CLOS DE L'EGLISE,STADE DE FOOTBALL LE CLOS DE L'EGLISE,78980,78346
1538941,0780461329,1,12,Mât métallique,48.87277777777778,2.0872222222222225,22,,Rue du CHANT DES OISEAUX,78160,78372
1545487,0780990110,1,48,pylône arbre,48.99972222222223,2.117777777777778,32,,Allee du Point du Jour,78700,78172
1546040,0782290516,1,38,Immeuble,48.99194444444444,1.7416666666666667,"16,5",,15 Rue de la Chasse,78520,78335
1579612,0782290519,3,17,Bâtiment,48.780277777777776,2.2075,"28,6",,11 PLACE DE L'EUROPE,78140,78640
1594400,0780990120,2,26,Pylône tubulaire,48.82972222222222,1.9777777777777776,36,,6 r des Entrepreneurs,78340,78165
1601403,0782290522,2,20,Monument religieux,48.94888888888889,2.145555555555556,50,,13 Rue de la Muette,78600,78358
1607992,0780031418,1,17,Bâtiment,48.78527777777778,1.9944444444444445,6,,BASE DE LOISIRS DE ST QUENTIN,78190,78621
1616424,0780461326,1,32,"Ouvrage d'art (pont, viaduc)",48.98416666666667,1.6275,"8,4",,Les beurons chatons,78200,78484
1624219,0780990141,2,17,Bâtiment,48.907777777777774,2.158333333333333,"33,8",,136 Avenue Paul Doumer,78360,78418
1662012,0782290525,1,38,Immeuble,48.93138888888889,2.0391666666666666,20,,2 avenue Maurice Berteaux,78300,78498
1672761,0780990149,1,26,Pylône tubulaire,48.623333333333335,1.823611111111111,36,,2 rue de Cutesson,78125,78269
1700991,0780466060,1,23,Pylône autostable,48.99194444444444,2.0758333333333336,17,CONFLANS-FIN-D'OISE,RUE D'ANDRESY,78700,78172
1701008,0780466062,1,23,Pylône autostable,49.00611111111111,1.9144444444444444,24,THUN-LE-PARADIS,RUE DE LA COTE LECUYER,78250,78401
1701010,0780466063,1,23,Pylône autostable,48.98305555555556,1.8086111111111112,22,,PLACE DE L'EUROPE,78440,78267
1705078,0780466064,1,23,Pylône autostable,48.9875,1.7066666666666666,32,,RUE JEAN JAOUEN,78711,78362
170960,0780030405,1,999999999,Support non décrit,49.06166666666666,1.5508333333333333,12,,11 R DE LA MAIRIE,78270,78337
1716845,0780990156,1,38,Immeuble,48.801944444444445,2.0725,"19,8",,34 bis rue du Docteur Vaillant,78210,78545
1719554,0780990159,1,38,Immeuble,48.64555555555555,1.8375,"19,5",,20 rue Auguste Moutié,78120,78517
1724044,0782700244,2,26,Pylône tubulaire,48.72083333333334,1.9272222222222224,22,,Route d'Yvette,78320,78334
1736078,0782700113,2,23,Pylône autostable,48.47972222222222,1.8522222222222224,40,Le Petit Orme,zi  chem rural 9,78660,78071
1737039,0780466078,1,23,Pylône autostable,48.79861111111111,2.0719444444444446,"6,4",,1 RUE FRANCISCO FERRER,78210,78545
1746470,0780466083,1,23,Pylône autostable,48.7725,2.1475,"7,4",,RUE CHARLES DE GAULLE,78350,78322
