SUP_ID,STA_NM_ANFR,NB_STATIONS_ANFR,NAT_ID,NAT_LB_NOM,latitude,longitude,SUP_NM_HAUT,ADR_LB_LIEU,ADR_LB_ADD1,ADR_NM_CP,COM_CD_INSEE
1022697,0780220035,1,23,Pylône autostable,48.95611111111111,2.093888888888889,31,Le Grand Cormier,gare de triage d'Achères,78100,78551
1023512,0780990029,1,38,Immeuble,48.76027777777778,1.9205555555555553,35,,2 Rond Point Laurent Schwartz,78310,78383
1024258,0780990031,1,17,Bâtiment,48.924166666666665,2.1863888888888887,"27,3",,PLACE MICHELET,78800,78311
1027560,0782290464,1,48,pylône arbre,48.808055555555555,2.035833333333333,15,,43 Rue Rene Dorme,78330,78242
1035243,0780990014,2,17,Bâtiment,48.99916666666667,1.6830555555555553,"53,9",,r Maryse Bastie 2,78200,78361
1043170,0780220080,6,23,Pylône autostable,49.011944444444445,2.0019444444444443,45,L'Hautil,chem du Ménucourt,78740,78638
1044291,0780220078,4,23,Pylône autostable,48.794444444444444,1.6572222222222222,33,Maublé,Entre N12 et D912 (av de Paris),78950,78263
1045572,0782290296,1,38,Immeuble,48.927499999999995,2.193333333333333,23,,13 r de Stalingrad,78800,78311
1048997,0780990032,2,26,Pylône tubulaire,48.839444444444446,2.065833333333333,25,,Avenue des Moulineaux,78590,78455
1051685,0782750214,1,26,Pylône tubulaire,48.9,2.0052777777777777,11,Cote de Gres,A13,78240,78007
1051695,0782750345,1,10,Tunnel,48.80555555555555,2.0508333333333333,"8,5",Tunnel de Fontenay,Tunnel de St Cyr,78210,78545
1051697,0782750345,1,10,Tunnel,48.805,2.0508333333333333,"8,5",Tunnel de Fontenay,Tunnel de St Cyr,78210,78545
1052082,0780990038,1,17,Bâtiment,48.89333333333333,2.064722222222222,"28,6",,2 rue ludwig van Beethoven,78100,78551
1083418,0782290479,1,23,Pylône autostable,48.70416666666667,2.088888888888889,15,,Rue de Vaugien,78470,78575
1122334,0782290358,1,31,Silo,48.47916666666667,1.8530555555555557,25,les jumelles,Silo,78660,78478
1132315,0782290481,1,26,Pylône tubulaire,48.924166666666665,1.9638888888888888,"12,9",,826 Rue de la Gare,78630,78466
