epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27898,2.69899,8.00437,2.63741,0.00094,0.28205,0.00231,0.00056,2.47329,8.71045,2.85083,0.000652482,0.000652482,0.000652482
2,11.2056,2.35627,6.88868,2.39502,0.00197,0.58974,0.00142,0.00059,2.18864,12.3385,2.02765,0.00129303,0.00129303,0.00129303
3,16.0802,2.28097,6.53861,2.31641,0.00222,0.66667,0.00195,0.00052,2.8088,7.92281,2.44685,0.00190718,0.00190718,0.00190718
4,20.8487,2.19282,6.32983,2.1788,0.00282,0.84615,0.00269,0.00077,2.49489,5.58099,2.27023,0.0018812,0.0018812,0.0018812
5,25.784,2.15465,5.62272,2.24253,0.00111,0.33333,0.00109,0.00042,2.30916,6.07149,2.34062,0.0018416,0.0018416,0.0018416
6,30.7202,2.20153,5.45828,2.23949,0.00137,0.41026,0.00206,0.00078,2.73852,6.58105,2.65656,0.001802,0.001802,0.001802
7,35.7558,2.19925,5.25597,2.21491,0.00128,0.38462,0.00198,0.00029,3.34622,10.3885,2.98463,0.0017624,0.0017624,0.0017624
8,40.513,2.10979,5.00497,2.16498,0.00162,0.48718,0.01521,0.00221,2.60837,6.26992,2.57152,0.0017228,0.0017228,0.0017228
9,45.4297,2.07665,4.77685,2.15656,0.00154,0.46154,0.00121,0.00035,2.22806,5.27485,2.38729,0.0016832,0.0016832,0.0016832
10,50.2495,2.14692,4.70257,2.21241,0.00256,0.76923,0.00398,0.00151,2.21581,6.38474,2.19725,0.0016436,0.0016436,0.0016436
11,54.9763,2.04804,4.58111,2.17221,0.00256,0.76923,0.00331,0.00153,2.58577,6.64018,2.36827,0.001604,0.001604,0.001604
12,59.809,2.10466,4.43831,2.15775,0.00179,0.53846,0.00195,0.00094,2.18705,8.03895,2.23664,0.0015644,0.0015644,0.0015644
13,64.5809,2.07479,4.48664,2.17136,0.00179,0.53846,0.00178,0.00037,2.33338,6.27344,2.32999,0.0015248,0.0015248,0.0015248
14,69.5085,2.07092,4.41612,2.17926,0.00162,0.48718,0.00098,0.00021,2.26771,7.90267,2.30895,0.0014852,0.0014852,0.0014852
