epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.90315,4.05348,7.14069,5.46286,0.00093,0.2,0.04991,0.00502,4.16515,4.80164,7.48029,0.000571429,0.000571429,0.000571429
2,4.34571,3.70837,5.00454,4.89479,0.0009,0.2,0.04991,0.00514,4.34941,4.89161,7.61661,0.00121358,0.00121358,0.00121358
3,5.90448,3.87681,5.6744,5.2471,0.00088,0.2,0.01595,0.00175,4.48426,5.25973,8.08691,0.00182933,0.00182933,0.00182933
4,7.45905,4.28475,5.69898,5.59855,0.00084,0.2,0.00666,0.00103,4.4516,5.83565,8.17162,0.0018812,0.0018812,0.0018812
5,8.97512,3.62836,5.25747,5.17663,0,0,0,0,3.76066,5.56856,7.31537,0.0018416,0.0018416,0.0018416
6,10.4602,2.96876,4.79045,3.63433,0,0,0,0,3.53081,5.72677,5.984,0.001802,0.001802,0.001802
7,11.9412,2.95593,4.95061,3.08933,0,0,0,0,4.25726,6.09263,6.02516,0.0017624,0.0017624,0.0017624
8,13.4817,2.94221,4.83081,2.83612,0,0,0,0,4.25726,6.09263,6.02516,0.0017228,0.0017228,0.0017228
9,14.9575,3.45592,4.87936,3.26476,0,0,0,0,4.68156,6.30715,6.03783,0.0016832,0.0016832,0.0016832
10,16.4293,3.06085,4.72809,3.06886,0,0,0,0,4.55264,5.65478,5.13836,0.0016436,0.0016436,0.0016436
11,17.9186,3.00354,4.77045,2.94029,0,0,0,0,4.40306,5.49484,4.48014,0.001604,0.001604,0.001604
12,19.7445,3.13768,4.67336,2.99628,0,0,0,0,4.34674,5.70897,4.52763,0.0015644,0.0015644,0.0015644
13,21.2567,2.85166,5.85332,2.73972,0.00056,0.2,0.00013,4e-05,4.15342,5.52601,4.47673,0.0015248,0.0015248,0.0015248
14,22.7408,2.91165,4.97453,2.72458,0.00028,0.1,8e-05,3e-05,3.98914,5.22842,4.55359,0.0014852,0.0014852,0.0014852
15,24.2698,2.68584,4.60656,2.68755,0.00028,0.1,8e-05,4e-05,3.99227,5.46233,4.59067,0.0014456,0.0014456,0.0014456
16,25.7892,2.60234,4.47554,2.74624,0.00028,0.1,8e-05,4e-05,3.99227,5.46233,4.59067,0.001406,0.001406,0.001406
17,27.2857,2.75153,4.54875,2.64623,0.00056,0.2,0.00018,3e-05,4.23608,6.32382,4.62536,0.0013664,0.0013664,0.0013664
