epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12174,2.28974,9.4458,1.9253,0.00139,0.5,0.00501,0.00158,2.01181,9.07957,2.22205,0.000571429,0.000571429,0.000571429
2,4.89454,1.91037,8.01949,1.89072,0.00139,0.5,0.00374,0.00136,2.10919,9.26913,2.28909,0.00121358,0.00121358,0.00121358
3,6.62323,1.90733,10.0528,1.71859,0.00139,0.5,0.00305,0.00123,2.07459,9.3507,2.38085,0.00182933,0.00182933,0.00182933
4,8.39684,2.38754,8.99693,2.04663,0.00139,0.5,0.00301,0.0007,2.08511,9.64305,2.34307,0.0018812,0.0018812,0.0018812
5,10.2325,1.69814,8.73331,1.62577,0,0,0,0,3.31967,15.4833,3.0296,0.0018416,0.0018416,0.0018416
6,12.0814,2.03545,11.862,1.69571,0.00111,0.4,0.00073,0.00011,2.97784,13.0112,3.57315,0.001802,0.001802,0.001802
7,13.9284,2.04892,11.5701,1.9952,0.00083,0.3,0.00065,0.00014,3.64809,13.8102,4.02197,0.0017624,0.0017624,0.0017624
8,15.7437,1.8884,9.78992,1.79973,0.00083,0.3,0.00065,0.00014,3.64809,13.8102,4.02197,0.0017228,0.0017228,0.0017228
9,17.6046,2.41787,7.98496,2.06042,0.00151,0.2,0.00031,3e-05,3.66669,310.83,71.3226,0.0016832,0.0016832,0.0016832
10,19.7558,2.14342,7.49859,1.86716,0.00111,0.4,0.00049,5e-05,3.32646,13.1733,16.7577,0.0016436,0.0016436,0.0016436
11,21.5939,1.79869,9.68998,1.64205,0.00056,0.2,0.00023,3e-05,3.39591,12.671,17.4211,0.001604,0.001604,0.001604
12,23.4866,1.79609,8.5971,1.60636,0.00028,0.1,7e-05,1e-05,3.59902,13.6743,33.1527,0.0015644,0.0015644,0.0015644
13,25.3497,2.02827,6.75065,1.80468,0.00028,0.1,3e-05,1e-05,3.43199,59.4053,12.9508,0.0015248,0.0015248,0.0015248
14,27.2251,2.1522,6.58794,1.97586,0,0,0,0,3.69933,228.652,4.85153,0.0014852,0.0014852,0.0014852
15,29.1086,1.96937,6.73337,1.88152,0.00259,0.1,0.0003,8e-05,3.85634,27.3579,5.03262,0.0014456,0.0014456,0.0014456
16,30.9907,1.92971,5.67696,1.90021,0.00259,0.1,0.0003,8e-05,3.85634,27.3579,5.03262,0.001406,0.001406,0.001406
