SUP_ID,image,status,nb_predictions,best_iou,TP,FP,FN
1784866,support_1784866.jpg,visible,0,0.0,0,0,1
1856901,support_1856901.jpg,non_visible,0,,0,0,0
1942436,support_1942436.jpg,visible,0,0.0,0,0,1
2254547,support_2254547.jpg,visible,0,0.0,0,0,1
268074,support_268074.jpg,visible,0,0.0,0,0,1
2865412,support_2865412.jpg,non_visible,0,,0,0,0
2962120,support_2962120.jpg,visible,0,0.0,0,0,1
3122294,support_3122294.jpg,visible,0,0.0,0,0,1
601815,support_601815.jpg,visible,0,0.0,0,0,1
798819,support_798819.jpg,visible,0,0.0,0,0,1
816674,support_816674.jpg,visible,0,0.0,0,0,1
821404,support_821404.jpg,non_visible,0,,0,0,0
891502,support_891502.jpg,visible,0,0.0,0,0,1
