epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25939,2.80829,8.37818,2.85795,0.00037,0.11111,0.00011,4e-05,2.39027,7.2132,3.04877,0.000641975,0.000641975,0.000641975
2,13.7049,2.16667,6.4467,2.38369,0.00148,0.44444,0.00066,0.00018,2.42425,10.2115,2.23229,0.00128273,0.00128273,0.00128273
3,20.0768,2.1432,5.84086,2.29216,0.00089,0.26667,0.00031,7e-05,2.72598,22.0339,3.03116,0.00189709,0.00189709,0.00189709
4,26.478,2.10404,5.39911,2.26452,0.00015,0.04444,1e-05,0,3.42327,12.7816,3.76665,0.0018812,0.0018812,0.0018812
5,32.8459,2.06322,5.07811,2.21461,0.00074,0.22222,0.00059,0.00014,3.1852,6.72329,3.60429,0.0018416,0.0018416,0.0018416
6,39.0649,1.97762,5.1572,2.11858,0.00141,0.42222,0.00179,0.0004,2.66185,5.74083,3.14758,0.001802,0.001802,0.001802
7,45.584,2.0118,4.94714,2.12807,0.00255,0.42222,0.00171,0.0002,3.25331,80.1424,17.5103,0.0017624,0.0017624,0.0017624
8,51.8929,1.99717,4.79024,2.15137,0.00044,0.13333,7e-05,2e-05,3.41881,7.38712,4.78223,0.0017228,0.0017228,0.0017228
9,58.3487,2.04639,4.55273,2.17399,0.0003,0.08889,3e-05,0,3.72599,17.2622,6.53478,0.0016832,0.0016832,0.0016832
10,64.611,1.94294,4.5111,2.05766,0.00281,0.84444,0.00553,0.00166,2.25458,5.21315,2.51161,0.0016436,0.0016436,0.0016436
11,70.9685,1.89624,4.47754,2.03049,0.00163,0.48889,0.00086,0.00035,2.90533,7.7538,2.96909,0.001604,0.001604,0.001604
12,77.2578,1.86935,4.25797,2.03666,0.00267,0.8,0.00381,0.0011,2.02488,4.81641,2.14867,0.0015644,0.0015644,0.0015644
13,83.5339,1.8507,4.15766,2.06153,0.00319,0.95556,0.01062,0.00398,2.15345,4.40945,2.20817,0.0015248,0.0015248,0.0015248
14,89.8241,1.78406,4.07524,1.99977,0.00304,0.91111,0.00952,0.00281,1.88382,4.50988,2.07008,0.0014852,0.0014852,0.0014852
15,96.0383,1.81514,3.92098,2.05114,0.00326,0.97778,0.00986,0.00394,2.12301,4.17011,2.18155,0.0014456,0.0014456,0.0014456
16,102.296,1.73033,3.95469,2.02787,0.00311,0.93333,0.00532,0.00184,2.379,4.31905,2.55721,0.001406,0.001406,0.001406
17,108.542,1.77937,3.86169,2.07465,0.00333,1,0.01712,0.00796,2.34997,4.84396,2.18388,0.0013664,0.0013664,0.0013664
18,114.833,1.78739,3.76527,1.98331,0.00237,0.71111,0.00732,0.00138,2.88601,4.02316,3.22467,0.0013268,0.0013268,0.0013268
19,121.123,1.75257,3.74439,2.0381,0.00326,0.97778,0.00909,0.00413,2.17882,5.31499,2.30145,0.0012872,0.0012872,0.0012872
20,127.382,1.72486,3.81456,2.01879,0.00333,1,0.01752,0.0067,1.94717,3.88851,2.17516,0.0012476,0.0012476,0.0012476
21,133.598,1.74288,3.77529,2.06163,0.00333,1,0.00869,0.00246,2.30916,3.92245,2.51109,0.001208,0.001208,0.001208
22,139.853,1.70886,3.5752,2.0208,0.00326,0.97778,0.00524,0.00119,2.87681,4.34954,3.51871,0.0011684,0.0011684,0.0011684
23,146.073,1.66829,3.60861,1.94843,0.00333,1,0.00826,0.00315,2.11897,3.72083,2.17303,0.0011288,0.0011288,0.0011288
24,152.318,1.64019,3.66822,1.93599,0.00326,0.97778,0.01062,0.00386,2.34798,4.09718,2.37527,0.0010892,0.0010892,0.0010892
