epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.12167,2.77906,13.9204,2.31807,0.00139,0.5,0.00464,0.0017,2.03422,9.0895,2.09717,0.000571429,0.000571429,0.000571429
2,3.46252,2.28129,12.6007,2.07448,0.00139,0.5,0.00297,0.00146,2.0685,9.39384,2.16577,0.00121358,0.00121358,0.00121358
3,4.81281,2.42316,8.97602,2.28196,0.00139,0.5,0.00335,0.00127,1.9848,9.98123,2.08859,0.00182933,0.00182933,0.00182933
4,6.16068,2.94736,12.3142,2.94003,0.00139,0.5,0.00622,0.00142,1.99547,9.73325,2.12182,0.0018812,0.0018812,0.0018812
5,7.60398,2.75085,10.7509,2.42759,0.00139,0.5,0.00144,0.00045,2.09229,9.59903,2.123,0.0018416,0.0018416,0.0018416
6,9.03289,2.37364,10.0379,2.20196,0.00139,0.5,0.00088,0.00022,2.95755,10.5798,2.6753,0.001802,0.001802,0.001802
7,10.4789,2.48996,10.9328,2.44063,0.00139,0.5,0.01177,0.00195,3.12228,13.887,3.42507,0.0017624,0.0017624,0.0017624
8,11.9625,1.93387,10.7633,1.90918,0.00139,0.5,0.01177,0.00195,3.12228,13.887,3.42507,0.0017228,0.0017228,0.0017228
9,13.4713,2.85778,9.76203,2.61909,0.00139,0.5,0.00162,0.00033,3.27279,15.1588,3.62124,0.0016832,0.0016832,0.0016832
10,14.9647,2.65808,9.1758,2.52081,0.00028,0.1,3e-05,0,4.24142,19.8226,5.05278,0.0016436,0.0016436,0.0016436
11,16.5161,2.59397,7.68503,2.46582,0.00028,0.1,0.0001,4e-05,3.51957,15.8117,4.13008,0.001604,0.001604,0.001604
12,17.9571,1.95772,8.21327,1.98796,0.00111,0.4,0.00147,0.00036,2.95061,11.7142,4.4964,0.0015644,0.0015644,0.0015644
13,19.5249,2.35059,6.59497,2.2426,0.00111,0.4,0.00261,0.00087,2.81742,12.5281,4.76247,0.0015248,0.0015248,0.0015248
14,20.992,1.99454,8.41609,2.02197,0.00083,0.3,0.00035,8e-05,3.22806,10.9022,2.99707,0.0014852,0.0014852,0.0014852
15,22.4902,2.26796,8.06287,2.1597,0.00056,0.2,0.00031,0.0001,2.68589,8.04551,2.8511,0.0014456,0.0014456,0.0014456
16,23.9418,2.27003,7.02707,2.24811,0.00056,0.2,0.00031,0.0001,2.68589,8.04551,2.8511,0.001406,0.001406,0.001406
17,25.4184,1.94678,7.07796,1.9394,0.00056,0.2,0.00041,0.0001,2.73986,7.8835,2.80858,0.0013664,0.0013664,0.0013664
18,26.8424,1.9903,7.34131,2.05112,0.00111,0.4,0.00072,0.00017,2.70103,7.44728,3.16385,0.0013268,0.0013268,0.0013268
19,28.3873,2.11667,6.66571,2.29202,0.00139,0.5,0.00098,0.00023,2.68617,7.42582,4.77224,0.0012872,0.0012872,0.0012872
20,29.9122,2.51535,6.13537,2.4696,0.00167,0.6,0.00122,0.00035,2.67243,7.31913,4.18999,0.0012476,0.0012476,0.0012476
21,31.5062,2.56052,5.60355,2.41322,0.00167,0.6,0.0023,0.00089,2.68976,7.50354,3.5043,0.001208,0.001208,0.001208
22,33.0689,2.26125,5.7968,2.23925,0.00351,0.1,0.01954,0.01162,2.8535,8.10012,2.85376,0.0011684,0.0011684,0.0011684
23,34.6369,2.37674,6.71269,2.4315,0.06425,0.1,0.0138,0.00684,2.92653,8.57599,2.80375,0.0011288,0.0011288,0.0011288
24,36.1165,2.3379,6.21504,2.29166,0.06425,0.1,0.0138,0.00684,2.92653,8.57599,2.80375,0.0010892,0.0010892,0.0010892
25,37.6115,2.06656,7.05197,2.05441,0.12957,0.1,0.01657,0.00971,2.91042,8.23151,2.74302,0.0010496,0.0010496,0.0010496
26,39.0952,2.17056,5.2976,2.17554,0.0044,0.1,0.00145,0.00067,2.74476,15.4452,2.80235,0.00101,0.00101,0.00101
27,40.5876,2.25661,5.77489,2.20146,0.47145,0.1,0.04983,0.01969,2.88633,7.88274,2.99092,0.0009704,0.0009704,0.0009704
28,42.1235,2.14176,5.75238,2.27747,0.28912,0.1,0.03561,0.01687,2.82244,7.54665,3.09292,0.0009308,0.0009308,0.0009308
29,43.6877,2.10418,5.15623,2.16097,0.02653,0.1,0.00757,0.00303,2.73283,7.77522,3.09734,0.0008912,0.0008912,0.0008912
30,45.1314,2.10128,5.29265,2.23533,0.43656,0.1,0.06031,0.03589,2.80173,6.90264,3.0067,0.0008516,0.0008516,0.0008516
31,46.621,2.31994,5.24777,2.25438,0.4261,0.1,0.06314,0.03664,2.84694,6.55868,2.95611,0.000812,0.000812,0.000812
32,48.0905,1.95116,5.26445,2.00156,0.4261,0.1,0.06314,0.03664,2.84694,6.55868,2.95611,0.0007724,0.0007724,0.0007724
33,49.5653,2.03006,4.98802,2.18424,0.427,0.1,0.07308,0.02998,2.80903,6.07864,2.8058,0.0007328,0.0007328,0.0007328
34,51.0413,2.27168,5.07319,2.30283,0.88755,0.2,0.23581,0.04435,2.7636,6.02898,2.74098,0.0006932,0.0006932,0.0006932
35,52.6035,1.77781,5.78052,1.84593,0.9127,0.2,0.22947,0.04445,2.71875,6.36228,2.61657,0.0006536,0.0006536,0.0006536
36,54.1259,2.01899,5.90529,2.12339,0.91936,0.2,0.21553,0.04248,2.69062,6.17459,2.56993,0.000614,0.000614,0.000614
37,55.6899,2.09426,4.94644,2.09015,0.9219,0.2,0.20053,0.04471,2.59283,6.04475,2.53392,0.0005744,0.0005744,0.0005744
38,57.2098,2.0466,4.7868,2.19907,0.43886,0.1,0.05154,0.03907,2.61753,6.14828,2.59598,0.0005348,0.0005348,0.0005348
39,58.7622,2.15597,4.95358,2.26009,0.43241,0.1,0.06619,0.04365,2.65193,6.32909,2.60924,0.0004952,0.0004952,0.0004952
40,60.2537,2.14886,5.52366,2.38853,0.43241,0.1,0.06619,0.04365,2.65193,6.32909,2.60924,0.0004556,0.0004556,0.0004556
41,62.8703,1.76391,5.20487,1.99703,0.41589,0.1,0.06332,0.03803,2.65973,6.23975,2.59299,0.000416,0.000416,0.000416
42,64.3088,2.01488,5.43457,2.23709,0.31895,0.1,0.05969,0.03602,2.72181,6.11982,2.66185,0.0003764,0.0003764,0.0003764
43,65.7694,1.93714,5.48211,2.19892,0.285,0.1,0.04411,0.02196,2.68375,6.3009,2.63828,0.0003368,0.0003368,0.0003368
44,67.3314,1.9747,5.65187,2.25873,0.28583,0.1,0.04658,0.02352,2.64999,6.33797,2.6443,0.0002972,0.0002972,0.0002972
45,68.8214,2.11358,5.54303,2.32909,0.2847,0.1,0.05077,0.02465,2.60065,6.35546,2.63855,0.0002576,0.0002576,0.0002576
46,70.2766,1.98535,5.39466,2.1926,0.28743,0.1,0.05379,0.02553,2.69241,6.32769,2.68025,0.000218,0.000218,0.000218
47,71.7116,1.70765,5.96162,1.92848,0.28809,0.1,0.05485,0.02544,2.73461,6.42451,2.71598,0.0001784,0.0001784,0.0001784
48,73.288,2.08867,5.48617,2.21798,0.28809,0.1,0.05485,0.02544,2.73461,6.42451,2.71598,0.0001388,0.0001388,0.0001388
49,74.7789,1.88971,5.38699,2.18012,0.28714,0.1,0.05395,0.02512,2.82064,6.44579,2.73642,9.92e-05,9.92e-05,9.92e-05
50,76.291,1.88511,5.39337,2.15891,0.27358,0.1,0.05646,0.02567,2.82196,6.67089,2.72081,5.96e-05,5.96e-05,5.96e-05
