epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65011,2.80153,13.145,2.34756,0.00052,0.1,0.00085,0.00039,2.03419,9.81475,2.10588,0.000357143,0.000357143,0.000357143
2,3.06933,2.32187,12.674,2.15948,0.00129,0.4,0.00174,0.00075,2.06991,10.075,2.17147,0.000758488,0.000758488,0.000758488
3,4.48132,2.41867,8.94117,2.21787,0.0012,0.35,0.00168,0.0005,1.98057,10.6809,2.09628,0.00114333,0.00114333,0.00114333
4,5.96595,2.97266,12.2508,2.9067,0.00046,0.15,0.00078,0.00033,1.99525,10.5143,2.1218,0.00117575,0.00117575,0.00117575
5,7.39247,2.72999,11.1623,2.43421,0.00029,0.1,0.00036,0.00014,2.09531,10.4002,2.11939,0.001151,0.001151,0.001151
6,8.83961,2.29579,9.97321,2.14018,0.00085,0.3,0.00392,0.00068,2.72578,11.3369,2.53593,0.00112625,0.00112625,0.00112625
7,10.3495,2.12605,9.82487,2.13055,0.0003,0.15,0.0003,9e-05,2.54216,11.7027,2.59865,0.0011015,0.0011015,0.0011015
8,11.8664,1.72047,9.65472,1.85906,0.0003,0.15,0.0003,9e-05,2.54216,11.7027,2.59865,0.00107675,0.00107675,0.00107675
9,13.3499,2.6631,9.14993,2.4731,0.00042,0.15,0.00095,0.00018,2.91056,11.7129,2.78209,0.001052,0.001052,0.001052
10,14.8238,2.37843,8.86732,2.3728,0.0002,0.05,9e-05,1e-05,2.88883,14.5402,2.71672,0.00102725,0.00102725,0.00102725
11,16.3138,2.39024,8.47172,2.26683,0,0,0,0,2.95346,13.9793,2.95943,0.0010025,0.0010025,0.0010025
12,17.7725,1.86104,8.59412,1.81864,0.00016,0.05,4e-05,1e-05,2.8284,14.6632,2.84821,0.00097775,0.00097775,0.00097775
13,19.2292,2.27807,7.10787,2.14955,0,0,0,0,2.42167,21.7603,2.35301,0.000953,0.000953,0.000953
14,20.7247,1.85791,9.15738,1.84244,0.00013,0.05,3e-05,1e-05,2.23399,22.1664,2.28275,0.00092825,0.00092825,0.00092825
15,22.2493,2.28802,7.88982,2.09001,0.00021,0.1,0.0001,3e-05,2.20087,12.1693,2.22568,0.0009035,0.0009035,0.0009035
16,23.7885,2.17371,7.00083,2.08995,0.00021,0.1,0.0001,3e-05,2.20087,12.1693,2.22568,0.00087875,0.00087875,0.00087875
17,25.2612,1.71525,7.91663,1.73223,0.00019,0.1,0.00012,2e-05,2.50149,9.79305,2.77999,0.000854,0.000854,0.000854
