epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23298,4.53326,6.31363,6.28295,0.00092,0.2,0.04977,0.005,4.18824,4.76874,7.48455,0.000571429,0.000571429,0.000571429
2,3.95961,3.86589,4.49106,5.14704,0.0009,0.2,0.09735,0.00988,4.33486,4.8433,7.70006,0.00121358,0.00121358,0.00121358
3,5.6932,3.53502,5.3229,5.58705,0.00088,0.2,0.01415,0.00156,4.46975,5.23869,8.17608,0.00182933,0.00182933,0.00182933
4,7.70095,4.22494,5.31849,5.2577,0.00084,0.2,0.00672,0.00084,4.44529,5.69588,8.31092,0.0018812,0.0018812,0.0018812
5,9.54382,3.93146,4.68044,5.00443,0,0,0,0,3.78071,42.66,7.91144,0.0018416,0.0018416,0.0018416
6,11.3869,2.80802,4.40195,3.23375,0,0,0,0,3.72264,5.88929,6.6662,0.001802,0.001802,0.001802
7,13.2014,2.80243,4.32596,3.24561,0,0,0,0,3.97878,6.23036,5.69162,0.0017624,0.0017624,0.0017624
8,14.9972,2.7676,4.3007,2.57941,0,0,0,0,3.97878,6.23036,5.69162,0.0017228,0.0017228,0.0017228
9,16.8671,3.07064,4.4504,3.18696,0.00028,0.1,0.00019,2e-05,4.24836,8.11037,4.62209,0.0016832,0.0016832,0.0016832
10,18.6953,3.1574,4.2464,3.01115,0.00028,0.1,0.00015,8e-05,4.10241,8.08703,4.7279,0.0016436,0.0016436,0.0016436
11,20.5359,2.60438,4.30875,2.56415,0.00028,0.1,3e-05,2e-05,4.2514,5.43841,5.28109,0.001604,0.001604,0.001604
12,22.7013,2.59047,4.08159,2.41949,0,0,0,0,4.17789,5.47024,5.14127,0.0015644,0.0015644,0.0015644
13,24.5133,2.98827,4.26399,2.82039,0.00028,0.1,4e-05,1e-05,4.04037,7.06044,4.86376,0.0015248,0.0015248,0.0015248
14,26.3566,2.94943,4.05549,2.90554,0.00028,0.1,6e-05,2e-05,3.78193,12.5112,4.18465,0.0014852,0.0014852,0.0014852
15,28.1853,3.09136,4.29598,2.95918,0.00028,0.1,0.00029,0.0001,3.77104,6.73503,4.20302,0.0014456,0.0014456,0.0014456
16,30.0127,3.04311,4.02085,2.92737,0.00028,0.1,0.00029,0.0001,3.77104,6.73503,4.20302,0.001406,0.001406,0.001406
17,31.8493,3.08906,4.26639,2.61021,0.00056,0.2,0.00066,0.00028,3.87735,6.02178,4.17084,0.0013664,0.0013664,0.0013664
