epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.96436,3.85596,5.33154,4.21798,0.00046,0.1,0.02375,0.00239,3.98673,4.54395,7.00874,0.000571429,0.000571429,0.000571429
2,3.27773,3.52634,4.8758,4.27709,0.00045,0.1,0.02375,0.00239,3.97147,4.64429,7.08927,0.00121358,0.00121358,0.00121358
3,4.69809,3.54339,5.04911,4.09558,0.00043,0.1,0.02375,0.0024,3.99795,4.73521,7.1916,0.00182933,0.00182933,0.00182933
4,6.0247,3.27268,5.5415,3.6797,0.00038,0.1,0.019,0.00192,3.95108,4.97643,7.32705,0.0018812,0.0018812,0.0018812
5,7.45238,3.81201,4.9644,4.24881,0,0,0,0,3.87334,5.27058,6.35818,0.0018416,0.0018416,0.0018416
6,8.86999,2.52604,4.26737,2.63844,0,0,0,0,3.7727,5.10629,5.39345,0.001802,0.001802,0.001802
7,10.2707,2.93447,4.32999,3.18397,0,0,0,0,3.81014,5.20165,5.07164,0.0017624,0.0017624,0.0017624
8,11.6829,2.63801,4.3329,2.62149,0,0,0,0,3.81014,5.20165,5.07164,0.0017228,0.0017228,0.0017228
9,13.1035,3.32689,4.6015,3.3149,0,0,0,0,3.89912,4.84433,3.98136,0.0016832,0.0016832,0.0016832
10,14.5457,3.03617,4.74847,3.04862,0,0,0,0,3.46527,4.82717,3.41016,0.0016436,0.0016436,0.0016436
11,15.9847,2.59842,4.56955,2.57712,0,0,0,0,3.14874,34.3554,3.12429,0.001604,0.001604,0.001604
12,17.727,2.58815,4.18876,2.50181,0,0,0,0,4.25725,8.73921,89.4597,0.0015644,0.0015644,0.0015644
13,19.1379,2.92718,4.64973,3.05936,0,0,0,0,0.43424,2.80508,14.4795,0.0015248,0.0015248,0.0015248
14,20.5907,2.39159,4.25101,2.39567,0,0,0,0,0,1.51622,0,0.0014852,0.0014852,0.0014852
15,22.0281,2.92813,4.6313,2.86354,0,0,0,0,0,1.75502,0,0.0014456,0.0014456,0.0014456
16,23.5378,2.58991,4.50998,2.79713,0,0,0,0,0,1.75502,0,0.001406,0.001406,0.001406
17,25.0515,3.2079,4.61958,3.31858,0,0,0,0,0,1.36934,0,0.0013664,0.0013664,0.0013664
18,26.607,2.259,4.12844,2.23366,0,0,0,0,2.54297,6.02317,40.5601,0.0013268,0.0013268,0.0013268
