epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39253,2.40583,8.63019,2.27972,0.00105,0.35484,0.0066,0.00183,1.89611,9.64051,2.1916,0.000634921,0.000634921,0.000634921
2,10.4119,2.24739,7.80067,2.32534,0.00105,0.35484,0.00264,0.00062,2.42839,9.90188,3.18355,0.00127582,0.00127582,0.00127582
3,15.3232,2.27777,6.4947,2.25144,0.00201,0.19355,0.00132,0.0003,2.66356,10.3066,4.33364,0.00189031,0.00189031,0.00189031
4,20.2936,2.24535,6.42454,2.3522,0.00568,0.09677,0.00121,0.00025,2.3975,18.1597,4.07163,0.0018812,0.0018812,0.0018812
5,25.2244,2.36108,6.10915,2.31619,0.00327,0.16129,0.00126,0.00034,2.87731,9.84138,3.50819,0.0018416,0.0018416,0.0018416
6,30.3734,2.28502,5.5307,2.2752,0.00306,0.03226,0.00163,0.00025,2.84221,67.2304,3.54221,0.001802,0.001802,0.001802
7,35.3782,2.27164,5.34006,2.34233,0.00095,0.32258,0.00043,0.00011,2.35921,114.254,5.36091,0.0017624,0.0017624,0.0017624
8,40.3386,2.2232,5.15455,2.28077,0.00162,0.54839,0.00115,0.00024,2.48528,249.417,4.30443,0.0017228,0.0017228,0.0017228
9,45.4845,2.24397,5.07812,2.21006,0.00057,0.19355,0.00013,3e-05,2.80819,5077.91,3.69179,0.0016832,0.0016832,0.0016832
10,51.2896,2.15202,4.74274,2.26082,0.00012,0.03226,0,0,3.12879,2959.54,4.79256,0.0016436,0.0016436,0.0016436
11,56.347,2.1591,4.64851,2.2596,0.00226,0.03226,0.00051,0.00017,2.79047,44.5039,3.19737,0.001604,0.001604,0.001604
12,61.3872,2.19363,4.56892,2.23892,0.03843,0.03226,0.00367,0.00096,2.65154,9.51394,2.91236,0.0015644,0.0015644,0.0015644
13,66.3008,2.16679,4.57234,2.15118,0.16028,0.12903,0.05204,0.00982,2.30984,6.76857,2.56507,0.0015248,0.0015248,0.0015248
14,71.3147,2.08453,4.14251,2.14057,0.08065,0.06452,0.05417,0.00854,2.3235,6.41066,2.42534,0.0014852,0.0014852,0.0014852
15,76.2855,2.05364,4.32546,2.11859,0.22166,0.03226,0.02529,0.00948,2.32793,6.29508,2.42264,0.0014456,0.0014456,0.0014456
16,81.1529,2.07102,4.32141,2.19272,0.16087,0.06452,0.06685,0.01931,2.50376,5.20481,2.73588,0.001406,0.001406,0.001406
17,86.0373,2.11962,4.11041,2.21442,0.30096,0.09677,0.08758,0.01555,2.54097,4.92266,2.54374,0.0013664,0.0013664,0.0013664
18,90.8437,2.01429,3.85693,2.11134,0.063,0.06452,0.06339,0.01477,2.31878,5.2994,2.41213,0.0013268,0.0013268,0.0013268
19,95.8029,2.01378,3.90848,2.09383,0.69014,0.16129,0.17151,0.0655,2.27955,5.14304,2.17428,0.0012872,0.0012872,0.0012872
20,100.74,1.99736,3.87692,2.06384,0.27657,0.12903,0.09361,0.021,2.37284,5.04647,2.38127,0.0012476,0.0012476,0.0012476
21,105.662,2.02089,3.60553,2.06457,0.21609,0.09677,0.05159,0.01431,2.60803,5.74083,2.52036,0.001208,0.001208,0.001208
22,110.557,2.00892,4.0123,2.12775,0.26861,0.10718,0.10747,0.04512,2.48992,4.9841,2.42022,0.0011684,0.0011684,0.0011684
23,115.441,1.96675,3.6562,1.98984,0.23158,0.12903,0.10649,0.05644,2.39501,4.3358,2.25388,0.0011288,0.0011288,0.0011288
24,120.342,1.97569,3.67221,2.08414,0.1467,0.19355,0.06694,0.02565,2.39735,4.75722,2.24412,0.0010892,0.0010892,0.0010892
25,125.245,1.92709,3.48432,1.97599,0.07818,0.12903,0.04435,0.01393,2.30027,5.18163,2.1797,0.0010496,0.0010496,0.0010496
26,130.216,1.99043,3.5397,2.05971,0.14248,0.06452,0.05016,0.01203,2.35249,5.29835,2.21499,0.00101,0.00101,0.00101
27,135.138,1.88904,3.40834,2.03619,0.07603,0.12903,0.03907,0.01031,2.33331,4.37942,2.19274,0.0009704,0.0009704,0.0009704
28,140.037,1.93925,3.32819,2.01315,0.18948,0.12903,0.07128,0.01565,2.28903,4.08258,2.23827,0.0009308,0.0009308,0.0009308
29,144.931,1.91025,3.27364,1.94646,0.16289,0.13192,0.11371,0.03254,2.34352,3.90162,2.26156,0.0008912,0.0008912,0.0008912
30,149.928,1.91726,3.38097,2.0049,0.1652,0.12903,0.09438,0.01672,2.39319,3.7942,2.43191,0.0008516,0.0008516,0.0008516
31,154.869,1.95872,3.37923,2.07065,0.16212,0.09677,0.07941,0.01996,2.2992,3.94723,2.34197,0.000812,0.000812,0.000812
32,159.804,1.90896,3.35126,1.97055,0.14351,0.22581,0.06534,0.02029,2.29486,4.08706,2.27836,0.0007724,0.0007724,0.0007724
33,164.783,1.84165,3.26724,1.92525,0.16103,0.12903,0.06776,0.01695,2.27258,4.12839,2.16459,0.0007328,0.0007328,0.0007328
34,169.773,1.98537,3.36553,2.00056,0.1735,0.12903,0.07319,0.02073,2.26091,4.01424,2.12079,0.0006932,0.0006932,0.0006932
