epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.38735,1.88868,7.7558,1.81041,0.00124,0.41935,0.04578,0.02252,1.86416,8.2554,1.97633,0.000634921,0.000634921,0.000634921
2,10.4758,1.85022,6.83312,1.75813,0.00152,0.51613,0.0508,0.02626,2.1178,9.15875,2.03048,0.00127582,0.00127582,0.00127582
3,15.5967,2.0353,7.15898,1.77119,0.00143,0.48387,0.01729,0.00441,2.14967,10.0798,2.12841,0.00189031,0.00189031,0.00189031
4,20.6261,2.0193,6.56297,1.78734,0.07497,0.09677,0.05128,0.03059,2.12493,8.96862,2.61447,0.0018812,0.0018812,0.0018812
5,25.6934,2.20283,6.07436,1.96027,0.02465,0.09677,0.00989,0.00285,2.07475,8.00772,2.25713,0.0018416,0.0018416,0.0018416
6,30.8012,2.10314,5.96927,1.85166,0.14625,0.06452,0.03564,0.02019,2.21749,7.50395,3.14279,0.001802,0.001802,0.001802
7,35.8268,2.0378,5.40163,1.90839,0.01933,0.06452,0.00497,0.00185,2.52783,13.4908,3.61634,0.0017624,0.0017624,0.0017624
8,40.8859,1.89218,4.94139,1.7867,0.0254,0.09677,0.00747,0.00379,1.93479,17.671,2.18501,0.0017228,0.0017228,0.0017228
9,45.8954,1.99199,4.94986,1.8297,0.02059,0.16129,0.01224,0.00615,2.10157,12.0119,2.01544,0.0016832,0.0016832,0.0016832
10,51.2506,1.82514,4.4505,1.73484,0.05208,0.09677,0.0293,0.01928,2.15939,11.5511,2.03408,0.0016436,0.0016436,0.0016436
11,56.2775,1.84695,4.26023,1.7195,0.08731,0.22581,0.03279,0.01324,2.23872,6.69939,2.32477,0.001604,0.001604,0.001604
12,61.3161,1.81273,4.00553,1.65029,0.18977,0.16129,0.05079,0.02197,2.31979,6.60671,2.4151,0.0015644,0.0015644,0.0015644
13,66.5091,1.89062,4.34621,1.70876,0.18981,0.09677,0.09465,0.05194,2.10236,5.83812,2.15153,0.0015248,0.0015248,0.0015248
14,71.5666,1.82163,3.6959,1.65863,0.05362,0.22581,0.02741,0.01026,2.02203,8.44599,2.0623,0.0014852,0.0014852,0.0014852
15,76.652,1.72339,3.80942,1.59655,0.24253,0.24811,0.09085,0.02992,2.23559,6.45376,2.17478,0.0014456,0.0014456,0.0014456
16,81.6216,1.75528,3.84761,1.61482,0.14267,0.19355,0.09534,0.05592,2.24063,6.16433,2.18395,0.001406,0.001406,0.001406
17,86.8002,1.7272,3.46831,1.54471,0.20008,0.25806,0.13417,0.04493,2.02509,8.14319,2.08596,0.0013664,0.0013664,0.0013664
