epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.1668,3.25537,4.83571,3.71317,0.0005,0.12903,0.00012,2e-05,2.97935,4.73459,4.4139,0.000634921,0.000634921,0.000634921
2,11.3122,3.13298,4.57175,3.37182,0.00019,0.06452,1e-05,0,3.81097,13.9313,3.49589,0.00127582,0.00127582,0.00127582
3,16.2694,3.12719,4.46238,3.05831,0.00124,0.12903,0.00076,9e-05,3.81541,4.68836,6.33632,0.00189031,0.00189031,0.00189031
4,21.3206,3.00725,4.35125,2.94241,0.00051,0.16129,0.00011,1e-05,3.53986,4.93977,5.63618,0.0018812,0.0018812,0.0018812
5,26.3122,3.06249,4.29249,2.91709,0.00102,0.32258,0.00096,0.00026,3.25066,4.66984,3.30865,0.0018416,0.0018416,0.0018416
6,31.284,3.03895,4.26324,2.95974,0.00029,0.09677,4e-05,1e-05,3.34151,12.7408,3.23969,0.001802,0.001802,0.001802
7,36.1731,2.87677,4.27478,2.91035,0,0,0,0,3.45559,68.5788,3.29828,0.0017624,0.0017624,0.0017624
8,41.1609,2.82554,4.17556,2.88245,0.00086,0.29032,0.00173,0.00024,2.98638,5.32654,3.54104,0.0017228,0.0017228,0.0017228
9,46.0615,2.66346,4.21697,2.74331,0.00057,0.19355,0.0011,0.00032,3.19211,5.15658,3.25056,0.0016832,0.0016832,0.0016832
10,51.3967,2.64094,4.14308,2.74392,0.00051,0.16129,0.01001,0.00305,4.00978,4.87108,3.77682,0.0016436,0.0016436,0.0016436
11,56.3697,2.54667,4.08038,2.71814,0.00111,0.32258,0.04171,0.00526,3.19717,4.52493,3.01351,0.001604,0.001604,0.001604
12,61.3825,2.61228,4.04095,2.65375,0.00097,0.25806,0.01142,0.00291,3.36576,4.53776,3.04958,0.0015644,0.0015644,0.0015644
13,66.3024,2.78868,4.15151,2.73468,0.00214,0.19355,0.00572,0.00254,3.31256,4.61651,3.10156,0.0015248,0.0015248,0.0015248
14,71.2563,2.6275,4.10106,2.64989,0.00068,0.22581,0.00041,0.00014,3.08927,6.1902,3.123,0.0014852,0.0014852,0.0014852
15,76.151,2.49964,4.07368,2.5962,0.00048,0.16129,0.00033,7e-05,2.95644,7.2696,2.93749,0.0014456,0.0014456,0.0014456
16,81.113,2.43498,4.04833,2.66321,0.00128,0.35484,0.03666,0.00735,2.73564,4.68373,3.09086,0.001406,0.001406,0.001406
17,86.1083,2.38677,3.9608,2.67701,0.00176,0.22581,0.00936,0.00102,2.62647,7.50036,3.11115,0.0013664,0.0013664,0.0013664
18,91.0171,2.47279,4.03358,2.64183,0.00461,0.16129,0.00991,0.00174,2.48849,6.56627,2.81333,0.0013268,0.0013268,0.0013268
19,95.9744,2.46751,3.98821,2.58512,0.01588,0.16129,0.00831,0.00337,2.62344,4.64407,2.99196,0.0012872,0.0012872,0.0012872
20,100.879,2.3586,3.91383,2.58417,0.02687,0.16129,0.012,0.00248,2.86847,4.73762,3.24767,0.0012476,0.0012476,0.0012476
21,105.851,2.42911,3.8321,2.55958,0.05001,0.03226,0.01311,0.00156,2.88065,5.09935,3.2252,0.001208,0.001208,0.001208
22,110.806,2.44084,4.04104,2.68738,0.00212,0.64516,0.02382,0.00388,2.69511,4.58673,2.95479,0.0011684,0.0011684,0.0011684
23,115.75,2.35601,3.85936,2.56716,0.05639,0.03226,0.02187,0.00664,2.62619,4.42263,2.89536,0.0011288,0.0011288,0.0011288
24,120.699,2.37222,3.93275,2.6926,0.14317,0.06452,0.07037,0.01911,2.83291,4.36859,2.99176,0.0010892,0.0010892,0.0010892
25,125.679,2.3398,3.81752,2.62338,0.28262,0.09677,0.07119,0.01293,2.89524,4.36593,3.1298,0.0010496,0.0010496,0.0010496
26,130.626,2.41881,3.82347,2.6763,0.19843,0.16129,0.05938,0.01368,2.82685,4.31478,2.93596,0.00101,0.00101,0.00101
27,135.634,2.27427,3.73506,2.55049,0.27908,0.16129,0.07787,0.02196,2.64567,4.2233,2.72007,0.0009704,0.0009704,0.0009704
28,140.656,2.31468,3.81304,2.48906,0.30421,0.12903,0.0993,0.02135,2.7152,4.02621,2.65101,0.0009308,0.0009308,0.0009308
29,145.568,2.42199,3.66443,2.49637,0.18911,0.12903,0.07934,0.02892,2.57748,4.40054,2.59929,0.0008912,0.0008912,0.0008912
30,150.536,2.30042,3.72357,2.42207,0.25227,0.16129,0.09521,0.0269,2.60455,4.39332,2.9349,0.0008516,0.0008516,0.0008516
31,155.43,2.28597,3.76472,2.48738,0.4305,0.12903,0.11868,0.03811,2.51846,4.23644,2.877,0.000812,0.000812,0.000812
32,160.465,2.28109,3.81252,2.41993,0.10602,0.12903,0.10229,0.02688,2.55494,4.42621,2.80518,0.0007724,0.0007724,0.0007724
33,165.363,2.23903,3.7036,2.3987,0.14112,0.12903,0.07401,0.02167,2.58952,4.41061,2.79962,0.0007328,0.0007328,0.0007328
34,170.24,2.41262,3.68069,2.51842,0.11875,0.12903,0.07438,0.01838,2.5668,4.31842,2.82134,0.0006932,0.0006932,0.0006932
35,175.196,2.21949,3.59433,2.37083,0.1181,0.16129,0.05653,0.01635,2.4377,4.19971,2.67,0.0006536,0.0006536,0.0006536
36,180.108,2.13213,3.49223,2.3424,0.3761,0.06452,0.05649,0.01647,2.30239,4.20359,2.50407,0.000614,0.000614,0.000614
37,185.044,2.21686,3.41377,2.37293,0.20001,0.03226,0.03617,0.00516,2.34099,4.30895,2.57012,0.0005744,0.0005744,0.0005744
38,190.031,2.15442,3.51529,2.39311,0.026,0.06452,0.00913,0.00201,2.45304,4.14828,2.62944,0.0005348,0.0005348,0.0005348
39,194.949,2.29451,3.46187,2.36943,0.45445,0.09677,0.07792,0.01033,2.4326,4.04503,2.55178,0.0004952,0.0004952,0.0004952
40,199.868,2.30621,3.44792,2.36251,0.50276,0.09677,0.09297,0.02162,2.4237,3.99762,2.50626,0.0004556,0.0004556,0.0004556
41,205.818,2.1402,3.51464,2.46959,0.36001,0.09677,0.07553,0.01746,2.43708,4.03054,2.5918,0.000416,0.000416,0.000416
42,210.806,2.19668,3.41006,2.43362,0.3048,0.09677,0.08659,0.01651,2.36679,4.05895,2.57556,0.0003764,0.0003764,0.0003764
43,215.801,2.13856,3.4236,2.49916,0.3381,0.12903,0.08896,0.01684,2.27282,4.19899,2.54265,0.0003368,0.0003368,0.0003368
44,220.807,2.09834,3.36847,2.37814,0.19069,0.12903,0.08975,0.0171,2.20399,4.30197,2.49921,0.0002972,0.0002972,0.0002972
45,225.815,2.16035,3.40499,2.45899,0.17144,0.09677,0.07244,0.00898,2.23143,4.10145,2.51594,0.0002576,0.0002576,0.0002576
